chat_group,country_client_phone_number,cliente_numero,vendedor_numero,greetings_rule_pass,goodbye_rule_pass,sentimental_tags,rules
fc795732-b2c1-4d03-9643-5a140bbab773,No especificado,No especificado,No especificado,true,,neutral,greetings
df2fc1da-696f-41c6-a50d-97f50896367c,No especificado,No especificado,No especificado,true,,neutral,greetings
71723697-ce7a-4133-99f9-f8cdbeb87845,No especificado,No especificado,No especificado,true,,neutral,greetings
3a0cdf76-a15e-4861-813f-6e05c4dcc1f8,No especificado,No especificado,No especificado,true,,neutral,greetings
a9946038-82f7-4482-9895-22b6f570d4da,No especificado,No especificado,No especificado,true,,neutral,greetings
bca672ab-17e0-42d9-a0ca-4e7f3484c04e,No especificado,No especificado,No especificado,true,,neutral,greetings
4fa009b3-9c95-42ed-b774-e8f1221b2f63,No especificado,No especificado,No especificado,,,neutral,greetings
41d77adf-b73f-4b94-b816-0ded33091d43,No especificado,No especificado,No especificado,true,,neutral,greetings
93f41841-c0d0-4bda-8bce-5c12dac91743,No especificado,No especificado,No especificado,true,,neutral,greetings
46571b4e-95d8-47f9-afc2-5244d95c6934,No especificado,No especificado,No especificado,true,,neutral,greetings
33905054-d600-478d-85d2-bd66da2ad2ff,No especificado,No especificado,No especificado,true,,neutral,greetings
47671758-3931-4f47-8f0c-70e580ea7bb0,No especificado,No especificado,No especificado,,,neutral,greetings
256beab5-8754-42c0-99dc-bda91eea48fa,No especificado,No especificado,No especificado,,,neutral,greetings
6b7e89c3-c313-4654-8cfe-cdb9f6b3f202,No especificado,No especificado,No especificado,,,neutral,greetings
c1cc0faa-ae2e-4543-a5a9-03d358ec005e,No especificado,No especificado,No especificado,,,neutral,greetings
05987d78-e4fe-4fe3-b9e4-7386b3e6366d,No especificado,No especificado,No especificado,,,neutral,greetings
aad8f688-84da-4fc5-9838-90761b859bec,No especificado,No especificado,No especificado,,,neutral,greetings
e690f221-0532-4fcb-bdec-9fd0c94e7082,No especificado,No especificado,No especificado,,,neutral,greetings
332c2948-f5ac-4d2c-a47b-1684c41dec80,No especificado,No especificado,No especificado,,,neutral,greetings
a315c79d-1145-42c0-b803-1da582f29378,No especificado,No especificado,No especificado,,,neutral,greetings
85e099f0-2169-41b9-8402-94e139bae99c,No especificado,No especificado,No especificado,,,neutral,greetings
042b00b1-1cce-4044-ad86-a8db33d98eab,No especificado,No especificado,No especificado,,,neutral,greetings
409aecd6-7448-48d4-94f6-6fd7bb7d623a,No especificado,No especificado,No especificado,,,neutral,greetings
d92345fb-743b-41ae-b5b3-58f250a2f6b6,No especificado,No especificado,No especificado,,,neutral,greetings
5ee73865-65cd-41b6-bede-12c664922766,No especificado,No especificado,No especificado,,,neutral,greetings
5826586b-c7e4-4de2-846b-a980ba00fc97,No especificado,No especificado,No especificado,,,neutral,greetings
3e8ecedc-9de5-4b69-b6f2-59f203c6e91e,No especificado,No especificado,No especificado,,,neutral,greetings
3c74bab1-00db-4218-b467-a6d68151cd7d,No especificado,No especificado,No especificado,,,neutral,greetings
56f53855-c334-478c-a938-44df79e7f0cc,No especificado,No especificado,No especificado,,,neutral,greetings
a358a58b-1466-44da-8ead-eeceb8e8fb8a,No especificado,No especificado,No especificado,,,neutral,greetings
3d6773f9-7116-43ff-b444-85406e8bba0f,No especificado,No especificado,No especificado,,,neutral,greetings
589e81a1-aaba-402b-ba71-eb8e2ca13a88,No especificado,No especificado,No especificado,,,neutral,greetings
911d874c-ca3c-4d86-9ed9-8cae13cf7abf,No especificado,No especificado,No especificado,,,neutral,greetings
